Title,Link,website,Article_Text,date
الأرصاد بتقولكم انخفاض جديد في الطقس الإثنين والثلاثاء المقبلين,https://elbashayer.com/%d8%a7%d9%84%d8%a3%d8%b1%d8%b5%d8%a7%d8%af-%d8%a8%d8%aa%d9%82%d9%88%d9%84%d9%83%d9%85-%d8%a7%d9%86%d8%ae%d9%81%d8%a7%d8%b6-%d8%ac%d8%af%d9%8a%d8%af-%d9%81%d9%8a-%d8%a7%d9%84%d8%b7%d9%82%d8%b3-%d8%a7/,elbashayer.com,"أكدت الدكتورة منار غانم، عضو المركز الإعلامي بهيئة الأرصاد الجوية، أن الأسبوع الحالي يشهد تقلبات جوية مهمة، مع بداية موسم الشتاء والفترة الأولى من طوبة، موضحة أن يومي الاثنين والثلاثاء المقبلين سيشهدان منخفضًا جويًا متعمقًا في طبقات الجو العليا، ما سيؤدي إلى أمطار متفاوتة الشدة على المحافظات الساحلية، خاصة المطلة على البحر المتوسط وشمالي الوجه البحري، مع نشاط ملحوظ للرياح واضطراب في الملاحة البحرية.
وأوضحت منار غانم، خلال مداخلة هاتفية مع الإعلامية كريمة عوض، ببرنامج “حديث القاهرة”، عبر شاشة “القاهرة والناس”، أن درجات الحرارة ستظل منخفضة، حيث تصل العظمى في القاهرة الكبرى خلال النهار إلى 19-20 درجة مئوية، لكنها تنخفض إلى 18 درجة خلال الاثنين والثلاث، مع برودة شديدة في الليل تصل إلى الصقيع في وسط سيناء والوادي الجديد، فيما تكون الصغرى بالقاهرة ما بين 10 و12 درجة مئوية.
وحذرت منار غانم، من الشبورة المائية صباحًا على الطرق الزراعية السريعة القريبة من المسطحات المائية، كما نبهت إلى ضرورة ارتداء الملابس الشتوية الثقيلة في فترات الليل، مضيفة أن نشاط الرياح قد يثير بعض الرمال والأتربة في الأماكن المكشوفة، خصوصًا في المناطق الصحراوية ذات الظاهر.
وشددت منار غانم، على أهمية متابعة النشرات الجوية خلال الأسبوع لمتابعة تفاصيل الأمطار وكمياتها، وخاصة في السواحل الشمالية الغربية وشمالي الوجه البحري، مشيرة إلى أن الفترة الحالية تتطلب الحذر وعدم الانخداع بالاستقرار المؤقت للطقس خلال النهار.",2026-01-11
تتجاوز التريليون جنيه زيادة ميزانية الصحة لتلبية احتياجات المواطن,https://elbashayer.com/%d8%aa%d8%aa%d8%ac%d8%a7%d9%88%d8%b2-%d8%a7%d9%84%d8%aa%d8%b1%d9%8a%d9%84%d9%8a%d9%88%d9%86-%d8%ac%d9%86%d9%8a%d9%87-%d8%b2%d9%8a%d8%a7%d8%af%d8%a9-%d9%85%d9%8a%d8%b2%d8%a7%d9%86%d9%8a%d8%a9-%d9%88/,elbashayer.com,"كشف الدكتور خالد عبد الغفار، نائب رئيس الوزراء للتنمية البشرية ووزير الصحة والسكان، أن الدكتور مصطفى مدبولي رئيس مجلس الوزراء، قام خلال الشهور القليلة الماضية بالعديد من الجولات الميدانية على المستشفيات والمنشآت الصحية، لمتابعة مستوى الخدمات المقدمة للمواطنين.
وأضاف خالد عبد الغفار، خلال لقائه مع هاني النحاس مراسل برنامج «على مسئوليتي»، الذي يقدمه الإعلامي أحمد موسى، والمذاع على قناة صدى البلد، أن هذه الزيارات الميدانية تشمل المنشآت الصحية الكبرى، موضحًا أنه لا يمكن تغطية جميع المشروعات دفعة واحدة.
وأوضح نائب رئيس الوزراء أن عدد المشروعات الصحية التي تم تنفيذها منذ عام 2014 يتجاوز 1230 مشروعًا صحيًا، مؤكدًا أن جميع المحافظات شهدت مشروعات صحية، سواء من خلال رفع كفاءة المنشآت القائمة أو إنشاء مشروعات صحية جديدة.
وتابع أن موازنة قطاع الصحة شهدت زيادات كبيرة منذ عام 2014، حيث تم ضخ كميات كبيرة من الاستثمارات لتلبية احتياجات المواطن المصري البسيط، إلى جانب إطلاق العديد من المبادرات الصحية.
وأشار إلى أن حجم الاستثمار في القطاع الصحي منذ عام 2014 تجاوز تريليون جنيه، ما يعكس اهتمام الدولة بتطوير المنظومة الصحية وتحسين جودة الخدمات الطبية المقدمة للمواطنين.",2026-01-11
مدبولي نسابق الزمن لإدخال أكبر عدد من الصروح الطبية العملاقة داخل التأمين الشامل,https://elbashayer.com/%d9%85%d8%af%d8%a8%d9%88%d9%84%d9%8a-%d9%86%d8%b3%d8%a7%d8%a8%d9%82-%d8%a7%d9%84%d8%b2%d9%85%d9%86-%d9%84%d8%a5%d8%af%d8%ae%d8%a7%d9%84-%d8%a3%d9%83%d8%a8%d8%b1-%d8%b9%d8%af%d8%af-%d9%85%d9%86-%d8%a7/,elbashayer.com,"أدلى الدكتور مصطفى مدبولي، رئيس مجلس الوزراء، بتصريحات تليفزيونية، فى ختام الجولة الميدانية التى قام بها صباح اليوم لتفقد أعمال إنشاء ورفع كفاءة عدد من المنشآت الصحية في محافظتي القاهرة والجيزة.
وأشار رئيس الوزراء إلى أن زيارة اليوم ترد على التساؤل الخاص بمدى اهتمام الدولة بقطاعى الصحة والتعليم، مؤكداً فى هذا الصدد أن قطاعي الصحة والتعليم يمثلان أولوية قصوى على أجندة عمل الحكومة خلال هذه المرحلة، موضحاً أن زيارة اليوم تأتي كجزء من الإجابة عن هذا التساؤل، حيث تم تفقد وزيارة خمسة مشروعات لمنشآت صحية فى محافظتي القاهرة والجيزة، منوها إلى أنه على الرغم من أن ترتيب هاتين المحافظتين فيما يتعلق بتطبيق منظومة التأمين الصحي الشامل هو ترتيب متأخر، إلا أنه يتم العمل على تطوير ورفع كفاءة المنشآت الصحية بهما، تمهيداً لدخولها منظومة التأمين الصحي الشامل، واعتمادها، موضحاً أن المنشآت التى تم زيارتها اليوم من المقرر الانتهاء من أعمال تطويرها خلال هذا العام، أو على الاكثر مع بداية العام القادم، وذلك سعياً لاتاحة خدماتها لمواطني القاهرة ومختلف المحافظات الجمهورية.
ولفت الدكتور مصطفى مدبولي إلى أن الصعوبة التى تواجه أعمال التطوير بالمشروعات التى تم زيارتها، تكمن في تنفيذ أعمال تطوير ورفع كفاءة وإقامة مبان جديدة في مستشفيات قائمة بالفعل، وهو ما يعنى الاستمرار فى تقديم الخدمات الصحية بالمستشفيات القائمة بالتزامن مع أعمال التطوير ورفع الكفاءة والبناء الجديد، وذلك أصعب بكثير من إقامة مستشفى جديد فى مكان خال من أى تواجدات.
ونوه رئيس الوزراء إلى أن المشروعات الخمسة التى تم زيارتها اليوم وتفقد الأعمال بها تتجاوز تكلفتها الاستثمارية الـ 25 مليار جنيه، حيث تتضمن هذه المشروعات رفع كفاءة وإقامة توسعات بمستشفى أورام دار السلام (هرمل سابقا)، والذى تحويل إلى مستشفي جوستاف روسي لعلاج الأورام، وذلك فى إطار الشراكة الموقعة مع هذا الصرح العالمي الذي يعتبر من أفضل صروح العالم فى مجال علاج الأورام، مضيفا: كما تتضمن المشروعات إقامة مستشفى بولاق أبو العلا الجديد، فى قلب القاهرة، وكذا إنشاء المدينة الطبية بمعهد ناصر، هذا المعهد الذي يتحول إلى مدينة طبية متكاملة، حيث سيتم مضاعفة طاقته الاستيعابية التى تصل الان إلى 680 سريرا، والوصول بها إلى أكثر من 1700 سرير، وذلك من خلال مبان على أحدث مستوى، تقدم خدمات صحية للمواطن المصري البسيط تضارع فى جودتها أرقى المستشفيات العالمية، بنفس التكلفة البسيطة التى تقدم بها الخدمات حالياً.
ولفت رئيس الوزراء إلى حجم الانفاق الذي تنفذه الدولة لكي تقدم جودة عالية جداً تخدم بها المواطن المصري.
وتابع رئيس الوزراء: شاهدنا مستشفي أم المصريين بمحافظة الجيزة، وأعمال التطوير الجارية بها، والتى منها إنشاء مبان كاملة جديدة، كما لفت رئيس الوزراء إلى أن زيارة اليوم تضمنت أيضا تفقد مستشفي بولاق الدكرور، قائلاً :”كما ترون المستشفي أمامكم، وأرجو أن يكون هناك تركيز اعلامي على المستشفي من الداخل، لأنها تضارع أحسن مستشفي قطاع خاص في مصر وفي المنطقة، وذلك من حيث جودة التجهيزات وأحدث الأجهزة في العالم، وكذا تجهيزات التأثيث بها، والخدمات التي ستقدم للمواطنين”، مضيفاً: مع كل ذلك، هناك كوادر طبية على أعلي مستوي يتم تدريبها وتجهيزها من أجل تقديم مختلف الخدمات الطبية للمواطنين على مدار 24 ساعة.
وأضاف: كل هذا يمثل نموذجاً مشرفاً لما تعمل عليه الدولة اليوم في هذا القطاع شديد الأهمية، والذي نوليه أولوية قصوى طبقاً لتوجيهات فخامة السيد الرئيس عبدالفتاح السيسي، رئيس الجمهورية، بما يتضمنه من مشروعات الصحة والتعليم والمشروعات المهمة التي ترفع من مستوي جودة الحياة للمواطنين، مثلما ذكرت في المؤتمر الصحفي الأسبوعي الماضي، المبادرة الرئاسية “حياة كريمة”، ومنظومة التأمين الصحي الشامل.
وقال رئيس الوزراء: اليوم مع هذه المشروعات المهمة، يتضح أننا كحكومة نسابق الزمن لإدخال أكبر عدد من الصروح الطبية العملاقة داخل منظومة التأمين الصحي الشامل، على الرغم من أن محافظتي القاهرة والجيزة غير مدرجتين في هذه المرحلة من المنظومة، إلا أن كل هذه المباني ستكون معتمدة في منظومة التأمين الصحي الشامل، وستقدم الخدمة سواء لسكان القاهرة أو أي محافظة أخري لا تتوافر فيها بعد هذه النوعية من الخدمات.
وفي الختام، توجه الدكتور مصطفى مدبولي، بالشكر لنائب رئيس مجلس الوزراء للتنمية البشرية، وزير الصحة والسكان، والسادة المحافظين، وكل من عمل بهذه المشروعات، قائلاً: شددت على كل شركات المقاولات للإسراع بمعدلات التنفيذ في بعض المشروعات المتأخرة نتيجة لتعقيد الموقع وطبيعة المكان كما ذكرنا سابقاً، إلى جانب وجود مستشفيات تعمل وتقدم خدماتها وتجري بها أعمال التطوير في نفس الوقت، ولكن الجميع وعد بتدارك هذه التأخيرات وسيتم تلبية البرنامج الزمني الموضوع، وبمجرد دخول هذه الصروح إلى الخدمة ستغير من شكل الخدمات الطبية إلى الأحسن.",2026-01-11
وزير الإسكان يتابع موقف تنفيذ أبراج الداون تاون بالعلمين الجديدة,https://elbashayer.com/%d9%88%d8%b2%d9%8a%d8%b1-%d8%a7%d9%84%d8%a5%d8%b3%d9%83%d8%a7%d9%86-%d9%8a%d8%aa%d8%a7%d8%a8%d8%b9-%d9%85%d9%88%d9%82%d9%81-%d8%aa%d9%86%d9%81%d9%8a%d8%b0-%d8%a3%d8%a8%d8%b1%d8%a7%d8%ac-%d8%a7%d9%84/,elbashayer.com,"تفقد المهندس شريف الشربيني، وزير الإسكان والمرافق والمجتمعات العمرانية، حيث تابع موقف تنفيذ مشروع أبراج “الداون تاون” بمدينة العلمين الجديدة، يرافقه مسئولو الوزارة وهيئة المجتمعات العمرانية الجديدة، وجهاز مدينة العلمين الجديدة.
واطَّلع وزير الإسكان، خلال الجولة على معدلات التنفيذ وجميع أعمال الواجهات للأبراج، ومكونات مشروع أبراج “الداون تاون” بمدينة العلمين الجديدة، والذي يتم تنفيذه على غرار أبراج منطقة الأعمال المركزية بالعاصمة الإدارية الجديدة.
ويتكون المشروع من برج أيقوني واحد بعدد 67 طابقًا ارتفاع ٣٠٧م ، بالإضافة إلى عدد (2) طابق بدروم، بإجمالي مساحة بنائية قدرها 460,720 مترًا مربعًا. ويشمل البرج على عدد 743 وحدة سكنية، ووحدات تجارية، وكبائن فندقية بعدد 80 كابينة ومواقف للسيارات.
كنا يتضمن المشروع الأبراج السكنية بواقع أربعة أبراج سكنية ارتفاع ٢٠٠ م بعدد 54 طابقًا لكل برج، بعدد 1,888 وحدة سكنية، بواقع 472 وحدة لكل برج، ووحدات تجارية.
وصعد وزير الإسكان إلى الدور ٦٦ بالبرج الأيقونى، وتابع الأعمال الجاري تنفيذها بالموقع وتشطيب الواجهات في البرج، والتشطيبات الداخلية، كما تابع الموقف الخاص بأعمال المرافق بالمشروع.
كما تابع الوزير الموقف التنفيذي لمشروع بحيرات دارن تاون “اللاجونز” وهو تطوير سياحي وترفيهي فاخر في مدينة العلمين الجديدة، يمتد على 745 فدانًا، مع مساحة تطوير 350 فدانًا ومساحة إجمالية قدرها 636,207 م²، ويعتمد المشروع على شبكة مترابطة من 11 بحيرة صناعية بمساحة مياه إجمالية 226,530 م²، وسبع جزر وظيفية تشمل وحدات إقامة فاخرة، مرافق رياضية وترفيهية، مسرحًا، حدائق مائية، ومناطق فعاليات، ويضم كورنيش بمساحة 222,084 م² للأنشطة التجارية والترفيهية والمسطحات الخضراء، كما يضم 109 مبنى بتصميم متكامل مع المسطحات المائية.
وخلال الجولة، وجه الوزير بحصر الفرص الإستثمارية بالمشروع، وبالأراضي المحيطة به لتعظيم الاستفادة منها وتحقيق المستهدف من تنمية تلك المنطقة.",2026-01-11
وزير الخارجية يتوجه إلى جدة للمشاركة في دورة مجلس وزراء منظمة التعاون الإسلامي,https://elbashayer.com/%d9%88%d8%b2%d9%8a%d8%b1-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d9%8a%d8%aa%d9%88%d8%ac%d9%87-%d8%a5%d9%84%d9%89-%d8%ac%d8%af%d8%a9-%d9%84%d9%84%d9%85%d8%b4%d8%a7%d8%b1%d9%83%d8%a9-%d9%81/,elbashayer.com,"توجه د. بدر عبد العاطي وزير الخارجية والهجرة وشئون المصريين بالخارج، اليوم السبت إلى جدة، وذلك للمشاركة في الدورة الاستثنائية لمجلس وزراء منظمة التعاون الإسلامي حول تطورات الوضع في جمهورية الصومال الفيدرالية.
ومن المقرر أن يلقى وزير الخارجية بيان مصر خلال الاجتماع، ويعقد سلسلة من اللقاءات الثنائية مع عدد من المسؤولين على هامش أعمال الاجتماع.",2026-01-11
ترتيب هدافي كأس الأمم الإفريقية بعد هدف محمد صلاح,https://elbashayer.com/%d8%aa%d8%b1%d8%aa%d9%8a%d8%a8-%d9%87%d8%af%d8%a7%d9%81%d9%8a-%d9%83%d8%a3%d8%b3-%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d8%a5%d9%81%d8%b1%d9%8a%d9%82%d9%8a%d8%a9-%d8%a8%d8%b9%d8%af-%d9%87%d8%af/,elbashayer.com,"واصل محمد صلاح تألقه في كأس أمم إفريقيا بعدما قاد منتخب مصر إلى نصف النهائي لمواجهة نارية مع منتخب السنغال.
وحقق منتخب مصر فوزًا مثيرًا على كوت ديفوار في ربع النهائي بنتيجة 3-2، حيث ساهم محمد صلاح في صناعة الهدف الثاني وتسجيل الهدف الثالث.
ونال محمد صلاح جائزة رجل مباراة مصر وكوت ديفوار بعدما رفع رصيده من الأهداف في هذه النسخة إلى 4 أهداف.
https://twitter.com/i/status/2010082833692287403
وبذلك ارتفع رصيد محمد صلاح من الأهداف في تاريخه بكأس أمم إفريقيا إلى 11 هدفًا خلال خمس نسخ شارك فيها.
تساوى محمد صلاح مع فيكتور أوسيمين لاعب منتخب نيجيريا في المركز الثاني بترتيب هدافي كأس أمم إفريقيا 2025 برصيد 4 أهداف، خلف المتصدر إبراهيم دياز الذي سجل 5 أهدافًا في 5 مباريات.
ترتيب هدافي كأس أمم إفريقيا بعد مباراة مصر وكوت ديفوار
إبراهيم دياز (المغرب) – 5 أهداف.
محمد صلاح (مصر) – 4 أهداف.
فيكتور أوسيمين (نيجيريا) – 4 أهداف.
أديمولا لوكمان (نيجيريا) – 3 أهداف.
أماد ديالو (كوت ديفوار) – 3 أهداف.
رياض محرز (الجزائر) – 3 أهداف.
لاسين سينايوكو (مالي) – 3 أهداف.
أيوب الكعبي (المغرب) – 3 أهداف.",2026-01-11
الليلة عيد شوف المهرجان المصري في قلب أغادير,https://elbashayer.com/%d8%a7%d9%84%d9%84%d9%8a%d9%84%d8%a9-%d8%b9%d9%8a%d8%af-%d8%b4%d9%88%d9%81-%d8%a7%d9%84%d9%85%d9%87%d8%b1%d8%ac%d8%a7%d9%86-%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a-%d9%81%d9%8a-%d9%82%d9%84%d8%a8/,elbashayer.com,"احتفل لاعبو منتخب مصر بالفوز المثير على كوت ديفوار والتأهل إلى نصف نهائي كأس الأمم الإفريقية، عقب مباراة قوية انتهت بنتيجة 3-2، وأقيمت على ملعب أدرار بمدينة أغادير المغربية، ضمن منافسات الدور ربع النهائي.
شاهد الفيديو من هنا
وشهدت المباراة أداءً قتاليًا من لاعبي الفراعنة، تُوج بتحقيق الفوز وحجز بطاقة العبور إلى الدور نصف النهائي، وسط أجواء من الفرحة الكبيرة داخل أرض الملعب عقب صافرة النهاية.
وبهذا الانتصار، يستعد منتخب مصر لخوض مواجهة قوية أمام منتخب السنغال في نصف نهائي البطولة القارية، في لقاء مرتقب يسعى خلاله الفراعنة لمواصلة مشوارهم نحو اللقب.
ومن المقرر أن تُقام مباراة مصر والسنغال يوم الأربعاء 14 يناير، في تمام الساعة السابعة مساءً بتوقيت القاهرة، على أن يتم الإعلان رسميًا عن الملعب المستضيف للمباراة في وقت لاحق.",2026-01-11
جبنالك مواعيد مباريات نصف نهائي كأس أمم إفريقيا 2025,https://elbashayer.com/%d8%ac%d8%a8%d9%86%d8%a7%d9%84%d9%83-%d9%85%d9%88%d8%a7%d8%b9%d9%8a%d8%af-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%86%d8%b5%d9%81-%d9%86%d9%87%d8%a7%d8%a6%d9%8a-%d9%83%d8%a3%d8%b3-%d8%a3%d9%85/,elbashayer.com,"وصلت بطولة كأس أمم إفريقيا 2025 إلى المرحلة الأهم والأكثر إثارة في البطولة، حيث يشهد الجمهور مواجهات حاسمة بين أفضل المنتخبات الأفريقية.
بعد فوز منتخب مصر على كوت ديفوار بنتيجة 3-2 في ربع النهائي، تأهل الفراعنة إلى نصف النهائي لمواجهة صعبة أمام السنغال، في مباراة ينتظرها عشاق الكرة الأفريقية على أحر من الجمر.
نظام البطولة وطريقة التأهل
تقام كأس أمم إفريقيا 2025 بنظام جديد يشمل 24 منتخبًا، مقسمين على ست مجموعات، تضم كل مجموعة أربعة فرق. يخوض كل منتخب ثلاث مباريات في دور المجموعات، وتحدد النتائج المنتخبات المتأهلة إلى الدور الإقصائي.
يتأهل إلى دور الـ16 كل من: أصحاب المركز الأول والثاني في كل مجموعة، إضافة إلى أفضل أربع فرق احتلت المركز الثالث. هذا النظام يمنح الفرصة للفرق الأقل حظًا في البداية لمواصلة المنافسة، ويجعل كل مباراة في دور المجموعات لها وزنها الخاص.
مرحلة الإقصاء تبدأ بدور الـ16، تليها مباريات ربع النهائي ونصف النهائي، ثم المباراة النهائية في حال انتهاء الوقت الأصلي لأي مباراة بالتعادل، يلعب الفريقان شوطين إضافيين مدة كل منهما 15 دقيقة، وإذا استمر التعادل تُحسم النتيجة بركلات الترجيح.
الفرق المتأهلة إلى نصف النهائي
تأهل رسميًا إلى نصف نهائي البطولة أربعة منتخبات قوية، وهي: مصر بعد فوزها على كوت ديفوار، والسنغال، والمغرب، ونيجيريا.
منتخب مصر، الذي قدم أداءً رائعًا في ربع النهائي، يسعى لمواصلة الانتصارات أمام السنغال، بينما يتطلع كل فريق من الفرق الثلاثة الأخرى لمنافسة قوية للوصول إلى المباراة النهائية.
القنوات الناقلة لمباريات نصف النهائي
ستتم إذاعة مباريات نصف النهائي عبر شبكة beIN SPORTS، التي خصصت عدة قنوات لبث البطولة، بما في ذلك: beIN MAX 1، وbeIN MAX 2، وbeIN MAX 3، وbeIN MAX 4.
كما يمكن لعشاق الكرة متابعة المباريات عبر الإنترنت من خلال منصتي beIN connect وTOD، لضمان تجربة مشاهدة متكاملة في جميع أنحاء الشرق الأوسط وشمال أفريقيا.
مواعيد مباريات نصف النهائي
مباراة مصر والسنغال
يستعد منتخب مصر لمواجهة السنغال يوم الأربعاء 14 يناير 2026، في مباراة نصف النهائي المرتقبة على ملعب طنجة، وتبدأ المباراة في تمام الساعة 18:00 بتوقيت المغرب و19:00 بتوقيت القاهرة و20:00 بتوقيت السعودية. بعد الفوز المثير على كوت ديفوار، يسعى الفراعنة لتقديم أداء مميز والحفاظ على حظوظهم في الوصول إلى المباراة النهائية.
مباراة المغرب ونيجيريا
وفي نفس اليوم، يخوض منتخب المغرب مواجهة قوية أمام نيجيريا على ملعب الأمير مولاي عبد الله، في تمام الساعة 21:00 بتوقيت المغرب و22:00 بتوقيت القاهرة و23:00 بتوقيت السعودية.
تعتبر هذه المباراة حاسمة لكل من الفريقين، خاصة مع الضغط الجماهيري الكبير على الفريق المغربي على أرضه وبين جماهيره.
موعد نهائي كأس أمم إفريقيا 2025
تم تحديد موعد المباراة النهائية ليكون يوم الأحد 18 يناير 2026، في تمام الساعة 20:00 بتوقيت المغرب 21 بتوقيت القاهرة و22:00 بتوقيت السعودية، على ملعب الأمير مولاي عبد الله.",2026-01-11
مصر وصلت المربع ومكافأة الـ118 مليون في الطريق,https://elbashayer.com/%d9%85%d8%b5%d8%b1-%d9%88%d8%b5%d9%84%d8%aa-%d8%a7%d9%84%d9%85%d8%b1%d8%a8%d8%b9-%d9%88%d9%85%d9%83%d8%a7%d9%81%d8%a3%d8%a9-%d8%a7%d9%84%d9%80118-%d9%85%d9%84%d9%8a%d9%88%d9%86-%d9%81%d9%8a-%d8%a7/,elbashayer.com,"تأهل منتخب مصر إلى نصف نهائي كأس أمم أفريقيا (المغرب 2025) عقب الفوز على منتخب كوت ديفوار بثلاثة أهداف مقابل هدفين.
ومن المقرر أن يلعب المنتخب المصري في دور نصف النهائي ضد منافسه السنغالي، مساء الأربعاء المقبل، حيث صعد “أسود التيرانجا” على حساب منتخب مالي بالفوز بهدف دون رد.
وضمن المنتخب المصري الحصول على 2.5 مليون دولار، ما يعادل (118 مليون جنيه مصري وفقًا لسعر الصرف في البنك المركزي).
وسيكون نصف النهائي الآخر بين منتخب المغرب (المستضيف) ومنافسه النيجيري، حيث سيقام هذا اللقاء يوم الأربعاء في العاشرة مساءً بتوقيت القاهرة.
وكان منتخب المغرب تأهل للمربع الذهبي بالفوز على منتخب الكاميرون بهدفين دون رد، في المقابل صعد المنتخب النيجيري بالفوز على نظيره الجزائري بهدفين دون رد.
ويحصل بطل كأس أمم أفريقيا على مقابل مالي يصل إلى 7 ملايين دولار، في المقابل سيحصل الوصيف على 4 ملايين دولار.",2026-01-11
الاتحاد الأوروبي يعلن صرف الشريحة الثانية من حزمة الدعم المالي لمصر,https://elbashayer.com/%d8%a7%d9%84%d8%a7%d8%aa%d8%ad%d8%a7%d8%af-%d8%a7%d9%84%d8%a3%d9%88%d8%b1%d9%88%d8%a8%d9%8a-%d9%8a%d8%b9%d9%84%d9%86-%d8%b5%d8%b1%d9%81-%d8%a7%d9%84%d8%b4%d8%b1%d9%8a%d8%ad%d8%a9-%d8%a7%d9%84%d8%ab/,elbashayer.com,"استقبل السيد الرئيس عبد الفتاح السيسي، اليوم، السيدة كايا كالاس، الممثلة العليا للشؤون الخارجية والسياسة الأمنية للاتحاد الأوروبي، وذلك بحضور الدكتور بدر عبد العاطي وزير الخارجية والهجرة وشؤون المصريين في الخارج، والسفيرة أنجلينا إيخهورست رئيسة بعثة الاتحاد الأوروبي بالقاهرة، وكريستين أودويسر عضو مكتب الممثل الأعلى للاتحاد الأوروبي للشؤون الخارجية والسياسة الأمنية، وروزاماريا جيلي نائب المدير العام للشرق الأوسط وشمال أفريقيا، وكريستوف بيجو، مبعوث الاتحاد الأوروبي لعملية السلام في الشرق الأوسط.
وصرح المتحدث الرسمي باسم رئاسة الجمهورية بأن السيد الرئيس استهلّ اللقاء بالإعراب عن تقديره للتطور الملحوظ في العلاقات المصرية الأوروبية، مؤكداً أهمية مواصلة العمل على تعزيز مختلف جوانب التعاون، خاصة بعد الارتقاء بهذه العلاقات إلى مستوى الشراكة الاستراتيجية الشاملة.
ومن جانبها، أعربت الممثلة العليا للشؤون الخارجية والسياسة الأمنية للاتحاد الأوروبي عن تقدير الجانب الأوروبي للتعاون القائم مع مصر في مختلف المجالات، وهو ما انعكس خلال انعقاد القمة المصرية الأوروبية الأولى ببروكسل في أكتوبر ٢٠٢٥، وأشارت إلى أنه سيتم صرف الشريحة الثانية من حزمة الدعم المالي المقدمة من الاتحاد الأوروبي إلى مصر خلال الأيام القادمة.
وأشار السفير محمد الشناوي، المتحدث الرسمي، إلى أن اللقاء تناول مجمل أوجه العلاقات بين الجانبين، حيث شدد السيد الرئيس على أهمية تنفيذ مخرجات القمة المصرية الأوروبية الأولى، وتعزيز التشاور والتنسيق في القضايا ذات الاهتمام المشترك، ولا سيما في المجالات السياسية والأمنية، دعماً للأمن والاستقرار الإقليمي.
كما تم بحث سبل دفع التعاون في مكافحة الإرهاب والجريمة المنظمة والتصدي للهجرة غير الشرعية. وفي السياق ذاته، أكد السيد الرئيس ضرورة تعزيز العلاقات التجارية والاستثمارية بين مصر والاتحاد الأوروبي، في ضوء الفرص الواعدة المتاحة للاستثمار في مصر، بما يحقق مصالح مشتركة للطرفين. وقد أعربت المسؤولة الأوروبية عن تطلع الاتحاد الأوروبي إلى مواصلة تطوير التعاون الاقتصادي، بما يفتح آفاقاً أرحب للعلاقات الثنائية، فضلاً عن استمرار التنسيق في الملفات السياسية ذات الاهتمام المتبادل، مثمنة الدور الفاعل الذي تضطلع به مصر في إرساء السلام والاستقرار بالمنطقة، معربة في ذات السياق عن تطلع الاتحاد الأوروبي لبدء أول حوار بين مصر والاتحاد الأوروبي في مجالات الأمن والدفاع في مارس ٢٠٢٦.
وأضاف المتحدث الرسمي أن اللقاء تناول أيضاً مستجدات الأوضاع الإقليمية والدولية، وفي مقدمتها الوضع في قطاع غزة، حيث أعرب السيد الرئيس عن تقدير مصر لدعم الاتحاد الأوروبي للجهود المصرية الرامية إلى التوصل لاتفاق وقف إطلاق النار.
وفي هذا الإطار، شدد السيد الرئيس والسيدة كالاس على ضرورة التنفيذ الكامل للاتفاق، وضمان تدفق المساعدات الإنسانية إلى القطاع بشكل منتظم ودون قيود. وفي ذات السياق، تم التشديد على رفض أي مساعٍ لتهجير الفلسطينيين من أرضهم، والتأكيد على ضرورة الإسراع في بدء تنفيذ المرحلة الثانية من اتفاق وقف إطلاق النار في قطاع غزة وعملية إعادة إعمار القطاع.
كما تم التشديد على ضرورة مواصلة العمل لاستئناف العملية السياسية وصولاً إلى تحقيق سلام شامل وعادل ودائم، وفقاً لحل الدولتين.
وارتباطاً بالوضع في ليبيا والسودان وسوريا ولبنان وإيران وأوكرانيا، تم التأكيد على ضرورة تسوية الأزمات ذات الصلة بالطرق السلمية وبما يحافظ على وحدة وسلامة تلك الدول ومقدرات شعوبها، مع التشديد على ضرورة تجنب أي تصعيد عسكري لما سوف يترتب على ذلك من تداعيات وخيمة ستؤثر على الجميع.",2026-01-11
